# PRN        X (m)              Y (m)              Z (m)
C 3     14998775.962     -3030527.453    -13152356.487
C 3     17881836.703    -18501017.424     -4158262.900
C 3     17664618.366    -26242389.906      6106875.514
C 3     16198944.137    -21940578.150     15468004.069
C 3     15591968.376     -7610823.663     21652802.422
C 3     17008382.340      9523225.172     22885783.066
C 3     20003629.280     20916325.861     18482680.873
C 3     22745341.167     21233295.529      9230178.255
C 3     23008416.085     11153205.959     -2648644.740
C 4    -27170787.910     -7545712.232     -1729453.467
C 4    -25292562.636      6285026.559     10312140.358
C 4    -19562328.055     15289109.986     19647995.438
C 4    -11812736.388     13860832.583     23803046.117
C 4     -4530601.683      2187169.731     21794147.384
C 4       381313.587    -13783426.348     14373591.107
C 4      2539021.857    -25540264.952      3700678.532
C 4      3171165.959    -26618054.009     -7417190.134
C 4      4329487.874    -16080821.072    -16341243.845
C 4      7666347.367       886628.422    -21225776.157
C 4     13437014.483     15674264.418    -21337240.965
C 4     20269141.142     20837638.706    -17002942.826
C 4     25805156.612     14036971.969     -9322426.308
C 4     27887286.574      -702446.888       132205.920
C 4     25691569.181    -15099078.294      9567263.410
C 4     20160946.116    -21063230.679     17194732.192
C 4     13492470.200    -15004058.999     21436846.661
C 4      8004460.697       279557.767     21180809.498
C 4      4964461.946     17073088.795     16126209.540
C 4      3982345.099     26882393.307      7060692.267
C 4      3321969.885     24937298.090     -4128217.434
C 4       952024.104     12639750.292    -14760860.165
C 4     -4240052.864     -3232355.535    -22011241.478
C 4    -11733707.263    -14211155.738    -23771148.225
C 5    -20609177.527    -14362265.553    -18477170.960
C 5    -25835144.229     -4042805.134     -8504582.778
C 5    -27036153.095      9782260.424      3679849.964
C 5    -24250755.934     18775208.921     14778368.670
C 5    -19131598.063     17196951.116     21886078.499
C 5    -14038909.705      5069025.829     23320625.426
C 5    -10800013.538    -11760536.903     19009492.643
C 5     -9776904.616    -24701941.847     10370161.499
C 5     -9736706.190    -27049223.375      -255385.797
C 5     -8603580.369    -17586467.916    -10340337.740
C 5     -4679469.583     -1274026.952    -17780826.191
C 5      2323235.734     13329325.926    -21254105.033
C 5     11010814.595     18617947.642    -20319273.618
C 5     18946585.297     11989384.987    -15314260.986
C 5     23834032.980     -2782882.868     -7201866.485
C 5     24645095.187    -17533310.182      2538704.563
C 5     22107246.079    -24061286.723     12043780.871
C 5     18251418.368    -18515523.874     19303702.494
C 5     15278692.243     -3408803.246     22523481.078
C 5     14377452.997     13732268.921     20599687.410
C 5     15107784.952     24383005.749     13589744.249
C 5     15683302.679     23568009.417      2913876.190
C 5     13998412.005     12432693.185     -8865208.501
C 5      8848241.320     -2463799.301    -18659665.017
C 6    -18261473.360      5478839.899     14850747.977
C 6    -10705340.652     15347666.763     21221190.391
C 6     -1654205.843     14342156.289     22645108.279
C 6      6327872.329      2806919.364     18786393.101
C 6     11342751.528    -13101613.963     10554895.636
C 6     13077512.202    -24754952.448      -124651.232
C 6     12837621.322    -25679319.280    -10779546.463
C 6     12724384.287    -15002567.432    -18931959.751
C 6     14417054.527      2020650.580    -22673382.452
C 6     18195087.680     16811932.895    -21135230.051
C 6     22729337.872     22061072.370    -14673107.424
C 6     25747088.125     15580759.572     -4779015.805
