# Time (min)   PRN   dX (m)   dY (m)   dZ (m)   3D Error (m)   dClk (m)
# ----------------------------------------------------------------------
         390   G09   -1.8331   -0.1484    0.1664         1.8466    308.3645
         390   G10    2.5803   -1.2181    0.5648         2.9087   7866.8777
         390   G11   -0.5221    1.3133   -1.3599         1.9612   3491.1750
         390   G12    0.2555   -0.8479    0.7843         1.1830   5429.0475
         390   G13    1.4548    0.8933   -0.5565         1.7956      1.0907
         390   G14   -1.5832   -0.7482   -0.3223         1.7805    892.0400
         390   G15   -0.0611   -0.7369   -0.8218         1.1055   6506.1313
         390   G16   -0.5217   -0.9328    1.4785         1.8244     27.4261
         390   G17    0.0300   -0.1557    0.1336         0.2074   8719.3400
         390   G18   -0.4269    2.6058   -1.9123         3.2603   7030.0124
         390   G19   -1.6007    0.2678   -0.4139         1.6749   6426.6237
         390   G20    0.9548   -1.2653   -0.9129         1.8292   5611.5529
         390   G21    0.1080   -1.6199    0.2379         1.6408     44.8520
         390   G22   -0.0156   -0.3518    0.1160         0.3708   3632.3555
         390   G23   -0.4103   -1.3594   -0.4839         1.5002   6852.5389
         390   G24    0.7368   -0.2043   -1.0634         1.3098     73.2832
         390   G25    0.8267   -1.0057    1.2920         1.8342      6.8724
         390   G26   -0.7788   -0.4076    0.9520         1.2958    670.6430
         390   G27   -1.5330   -0.1175   -0.2137         1.5522   2054.9625
         390   G28   -0.4770    1.2931   -0.7269         1.5583   3530.5076
         390   G29   -0.1620    0.2505    0.0839         0.3099    834.7769
         390   G30   -0.5493    0.7681    0.8614         1.2781    659.1759
         390   G31   -1.2701    0.4158    0.6787         1.4989     90.3202
         390   G32   -0.3106   -0.5064   -0.9423         1.1140   3735.8115
         420   G01   -0.6970   -0.4278   -0.9929         1.2863   1325.9875
         420   G02    1.1071   -1.3471    2.0283         2.6748   2897.6553
         420   G03   -0.5275    0.1007   -1.4669         1.5621    645.3501
         420   G05    1.3016   -0.3798   -0.5809         1.4751      2.4233
         420   G06    0.2456    0.6606   -0.8675         1.1177   1151.0502
         420   G08   -0.8844   -1.1223    1.0874         1.7956    100.8736
         420   G09   -1.6561   -0.1177   -0.1048         1.6636    308.5344
         420   G10    2.3103   -0.8339    0.7306         2.5625   7868.5251
